link,num_lien,pays,ligue,annee,equipes
/matches/1828014/live/angleterre-league-two-2024-2025-port-vale-tranmere,1828014,angleterre,league-two,2024-2025,port-vale-tranmere
/matches/1828015/live/angleterre-league-two-2024-2025-crewe-swindon,1828015,angleterre,league-two,2024-2025,crewe-swindon
/matches/1828016/live/angleterre-league-two-2024-2025-salford-city-cheltenham,1828016,angleterre,league-two,2024-2025,salford-city-cheltenham
/matches/1828017/live/angleterre-league-two-2024-2025-swindon-walsall,1828017,angleterre,league-two,2024-2025,swindon-walsall
/matches/1828018/live/angleterre-league-two-2024-2025-doncaster-morecambe,1828018,angleterre,league-two,2024-2025,doncaster-morecambe
/matches/1828019/live/angleterre-league-two-2024-2025-port-vale-chesterfield,1828019,angleterre,league-two,2024-2025,port-vale-chesterfield
/matches/1828020/live/angleterre-league-two-2024-2025-cheltenham-afc-wimbledon,1828020,angleterre,league-two,2024-2025,cheltenham-afc-wimbledon
/matches/1828021/live/angleterre-league-two-2024-2025-fleetwood-gillingham,1828021,angleterre,league-two,2024-2025,fleetwood-gillingham
/matches/1828022/live/angleterre-league-two-2024-2025-morecambe-colchester,1828022,angleterre,league-two,2024-2025,morecambe-colchester
/matches/1828023/live/angleterre-league-two-2024-2025-milton-keynes-dons-carlisle,1828023,angleterre,league-two,2024-2025,milton-keynes-dons-carlisle
/matches/1828024/live/angleterre-league-two-2024-2025-colchester-harrogate-town,1828024,angleterre,league-two,2024-2025,colchester-harrogate-town
/matches/1828025/live/angleterre-league-two-2024-2025-harrogate-town-doncaster,1828025,angleterre,league-two,2024-2025,harrogate-town-doncaster
/matches/1828026/live/angleterre-league-two-2024-2025-notts-co-grimsby,1828026,angleterre,league-two,2024-2025,notts-co-grimsby
/matches/1828027/live/angleterre-league-two-2024-2025-grimsby-barrow,1828027,angleterre,league-two,2024-2025,grimsby-barrow
