numéro,pays,ligue,année,clubs,liens
1823629,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg Sv Heimstetten,/matches/1823629/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-sv-heimstetten
1823630,Allemagne,Oberliga,2024-2025,Fc Pipinsried Fc Ismaning,/matches/1823630/live/allemagne-oberliga-2024-2025-fc-pipinsried-fc-ismaning
1823631,Allemagne,Oberliga,2024-2025,Unterhaching Ii Sv Erlbach,/matches/1823631/live/allemagne-oberliga-2024-2025-unterhaching-ii-sv-erlbach
1823632,Allemagne,Oberliga,2024-2025,Fc Sonthofen Tsv Kottern,/matches/1823632/live/allemagne-oberliga-2024-2025-fc-sonthofen-tsv-kottern
1823633,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Sv Heimstetten,/matches/1823633/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-sv-heimstetten
1823634,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg 1860 Muenchen Ii,/matches/1823634/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-1860-muenchen-ii
1823635,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Fc Memmingen,/matches/1823635/live/allemagne-oberliga-2024-2025-sv-schalding-heining-fc-memmingen
1823636,Allemagne,Oberliga,2024-2025,Sv Erlbach Tuerkspor Augsburg,/matches/1823636/live/allemagne-oberliga-2024-2025-sv-erlbach-tuerkspor-augsburg
1823637,Allemagne,Oberliga,2024-2025,Fc Memmingen Fc Sonthofen,/matches/1823637/live/allemagne-oberliga-2024-2025-fc-memmingen-fc-sonthofen
1823638,Allemagne,Oberliga,2024-2025,Fc Ismaning Fc Sonthofen,/matches/1823638/live/allemagne-oberliga-2024-2025-fc-ismaning-fc-sonthofen
1823639,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen 1860 Muenchen Ii,/matches/1823639/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-1860-muenchen-ii
1823640,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Sv Schalding Heining,/matches/1823640/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-sv-schalding-heining
1823641,Allemagne,Oberliga,2024-2025,Fc Sonthofen Sv Heimstetten,/matches/1823641/live/allemagne-oberliga-2024-2025-fc-sonthofen-sv-heimstetten
1823642,Allemagne,Oberliga,2024-2025,Sv Heimstetten Unterhaching Ii,/matches/1823642/live/allemagne-oberliga-2024-2025-sv-heimstetten-unterhaching-ii
1823643,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Fc Memmingen,/matches/1823643/live/allemagne-oberliga-2024-2025-fc-deisenhofen-fc-memmingen
1823644,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Fc Pipinsried,/matches/1823644/live/allemagne-oberliga-2024-2025-tsv-gruenwald-fc-pipinsried
1823645,Allemagne,Oberliga,2024-2025,Unterhaching Ii Fc Ismaning,/matches/1823645/live/allemagne-oberliga-2024-2025-unterhaching-ii-fc-ismaning
1823646,Allemagne,Oberliga,2024-2025,Fc Sonthofen 1860 Muenchen Ii,/matches/1823646/live/allemagne-oberliga-2024-2025-fc-sonthofen-1860-muenchen-ii
1823647,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Tsv Rain Lech,/matches/1823647/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-tsv-rain-lech
1823648,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Tsv Kottern,/matches/1823648/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-tsv-kottern
1823649,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Sv Erlbach,/matches/1823649/live/allemagne-oberliga-2024-2025-sv-schalding-heining-sv-erlbach
