league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,35,0:1,Seko Fofana,Yellow Card,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,40,0:1,Boubakar Kouyaté,Yellow Card,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,46,0:1,Musa Al-Taamari pour Seko Fofana,Substitute,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,46,0:1,Khalil Fayad pour Bamo Meïté,Substitute,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,56,0:2,Djaoui Cissé - Passe décisive : Jordan James,Goal,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,59,0:2,Rabby Nzingoula pour Wahbi Khazri,Substitute,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,60,0:2,Nicolas Pays pour Jordan Ferri,Substitute,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,69,0:3,Lorenz Assignon - Passe décisive : Ludovic Blas,Goal,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,73,0:3,Hans Hateboer pour Anthony Rouault,Substitute,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,73,0:3,Azor Matusiwa pour Jordan James,Substitute,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,78,0:3,Junior Ndiaye pour Andy Delort,Substitute,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,82,0:3,Ismaël Koné pour Ludovic Blas,Substitute,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,85,0:3,Simon Cara pour Téji Savanier,Substitute,Montpellier,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,87,0:4,Arnaud Kalimuendo,Goal,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,87,0:4,Arnaud Kalimuendo - Pénalty arrêté par Benjamin Lecomte,Pénalty arrêté,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,88,0:4,Ayanda Sishuba pour Arnaud Kalimuendo,Substitute,Rennes,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,45,0:0,Frank Magri,Yellow Card,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,46,0:0,Ibrahima Niane pour Bamba Dieng,Substitute,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,47,0:0,Jean-Eudes Aholou,Yellow Card,Angers,https://fbref.com/fr/matchs/d9b255ac/Angers-Toulouse-2-Mars-2025-Ligue-1
